subjNum;subjStartDate;subjStartTime;trialIndex;exptId;choicePos;vidPlayCounts;rt
8;2024-10-09;00:07:33;4;33;right;{"vid1":5,"vid2":5,"vid3":5};209.529
5;2024-10-08;23:56:06;25;24;right;{"vid1":26,"vid2":26,"vid3":26};892.529
7;2024-10-09;00:08:22;9;27;middle;{"vid1":10,"vid2":10,"vid3":10};323.33
6;2024-10-08;23:57:45;26;11;left;{"vid1":54,"vid2":54,"vid3":27};885.638
7;2024-10-09;00:08:22;10;42;left;{"vid1":11,"vid2":11,"vid3":11};349.964
5;2024-10-08;23:56:06;26;6;right;{"vid1":27,"vid2":27,"vid3":27};923.007
8;2024-10-09;00:07:33;5;31;left;{"vid1":12,"vid2":12,"vid3":6};250.163
6;2024-10-08;23:57:45;27;24;left;{"vid1":28,"vid2":28,"vid3":28};920.617
5;2024-10-08;23:56:06;27;3;right;{"vid1":28,"vid2":28,"vid3":28};954.68
8;2024-10-09;00:07:33;6;4;right;{"vid1":14,"vid2":7,"vid3":7};283.647
7;2024-10-09;00:08:22;11;14;left;{"vid1":12,"vid2":24,"vid3":12};408.195
6;2024-10-08;23:57:45;28;40;left;{"vid1":29,"vid2":29,"vid3":29};955.329
5;2024-10-08;23:56:06;28;41;middle;{"vid1":58,"vid2":29,"vid3":29};996.749
8;2024-10-09;00:07:33;7;18;left;{"vid1":16,"vid2":16,"vid3":8};315.582
7;2024-10-09;00:08:22;12;19;right;{"vid1":13,"vid2":13,"vid3":13};426.664
6;2024-10-08;23:57:45;29;1;middle;{"vid1":30,"vid2":30,"vid3":30};970.619
8;2024-10-09;00:07:33;8;42;left;{"vid1":9,"vid2":9,"vid3":9};342.832
6;2024-10-08;23:57:45;30;15;right;{"vid1":62,"vid2":31,"vid3":31};1000.149
5;2024-10-08;23:56:06;29;42;middle;{"vid1":30,"vid2":30,"vid3":30};1029.831
7;2024-10-09;00:08:22;13;39;middle;{"vid1":14,"vid2":14,"vid3":14};462.125
8;2024-10-09;00:07:33;9;6;right;{"vid1":10,"vid2":10,"vid3":10};364.372
6;2024-10-08;23:57:45;31;32;left;{"vid1":32,"vid2":32,"vid3":32};1020.067
5;2024-10-08;23:56:06;30;27;right;{"vid1":31,"vid2":31,"vid3":31};1065.398
7;2024-10-09;00:08:22;14;20;right;{"vid1":15,"vid2":15,"vid3":15};496.113
8;2024-10-09;00:07:33;10;35;left;{"vid1":11,"vid2":11,"vid3":11};397.25
6;2024-10-08;23:57:45;32;36;right;{"vid1":66,"vid2":33,"vid3":33};1052.963
7;2024-10-09;00:08:22;15;7;left;{"vid1":16,"vid2":16,"vid3":16};525.406
8;2024-10-09;00:07:33;11;20;left;{"vid1":12,"vid2":12,"vid3":12};421.917
6;2024-10-08;23:57:45;33;39;left;{"vid1":34,"vid2":34,"vid3":34};1076.899
5;2024-10-08;23:56:06;31;22;right;{"vid1":32,"vid2":32,"vid3":32};1106.19
7;2024-10-09;00:08:22;16;38;middle;{"vid1":17,"vid2":17,"vid3":17};551.806
6;2024-10-08;23:57:45;34;12;left;{"vid1":35,"vid2":35,"vid3":35};1103.754
5;2024-10-08;23:56:06;32;19;left;{"vid1":33,"vid2":66,"vid3":33};1137.532
8;2024-10-09;00:07:33;12;26;left;{"vid1":26,"vid2":13,"vid3":13};463.084
5;2024-10-08;23:56:06;33;11;left;{"vid1":34,"vid2":34,"vid3":34};1168.297
8;2024-10-09;00:07:33;13;0;left;{"vid1":14,"vid2":14,"vid3":14};490.369
7;2024-10-09;00:08:22;17;22;middle;{"vid1":18,"vid2":18,"vid3":18};608.376
6;2024-10-08;23:57:45;35;9;middle;{"vid1":72,"vid2":72,"vid3":72};1154.127
8;2024-10-09;00:07:33;14;9;left;{"vid1":15,"vid2":15,"vid3":15};509.419
5;2024-10-08;23:56:06;34;26;right;{"vid1":35,"vid2":35,"vid3":35};1197.432
7;2024-10-09;00:08:22;18;6;middle;{"vid1":19,"vid2":19,"vid3":19};637.238
8;2024-10-09;00:07:33;15;29;left;{"vid1":16,"vid2":16,"vid3":16};526.402
6;2024-10-08;23:57:45;36;22;right;{"vid1":74,"vid2":74,"vid3":37};1183.32
5;2024-10-08;23:56:06;35;8;right;{"vid1":36,"vid2":36,"vid3":36};1217.465
6;2024-10-08;23:57:45;37;17;left;{"vid1":38,"vid2":38,"vid3":38};1201.18
8;2024-10-09;00:07:33;16;28;middle;{"vid1":34,"vid2":51,"vid3":34};553.921
7;2024-10-09;00:08:22;19;8;middle;{"vid1":20,"vid2":40,"vid3":20};672.14
5;2024-10-08;23:56:06;36;5;middle;{"vid1":37,"vid2":37,"vid3":37};1244.612
6;2024-10-08;23:57:45;38;31;middle;{"vid1":39,"vid2":39,"vid3":39};1224.008
8;2024-10-09;00:07:33;17;32;right;{"vid1":18,"vid2":18,"vid3":18};584.255
subjNum;subjStartDate;subjStartTime;trialIndex;exptId;choicePos;vidPlayCounts;rt
9;2024-10-09;00:18:53;0;43;right;{"vid1":1,"vid2":1,"vid3":2};32.446
6;2024-10-08;23:57:45;39;10;left;{"vid1":80,"vid2":40,"vid3":40};1247.769
5;2024-10-08;23:56:06;37;7;right;{"vid1":38,"vid2":38,"vid3":38};1278.096
8;2024-10-09;00:07:33;18;23;left;{"vid1":19,"vid2":19,"vid3":19};604.988
7;2024-10-09;00:08:22;20;9;right;{"vid1":21,"vid2":21,"vid3":21};716.545
9;2024-10-09;00:18:53;1;0;middle;{"vid1":4,"vid2":2,"vid3":2};56.005
5;2024-10-08;23:56:06;38;31;right;{"vid1":39,"vid2":39,"vid3":39};1304.372
6;2024-10-08;23:57:45;40;35;right;{"vid1":41,"vid2":41,"vid3":41};1281.799
7;2024-10-09;00:08:22;21;3;right;{"vid1":22,"vid2":22,"vid3":22};745.87
